repetition,model_id,model_label,method_id,method_label,metric_id,metric_label,unit,role,cluster_count,cases_per_cluster,mean,median,sample_standard_deviation,minimum,maximum
1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M4_post_plan_compute_matched,M4 compute-matched,gpu_board_energy_joules,GPU-board energy (J),joules,secondary_resource_outcome,30,5,2942.7906199999998,2583.7447,915.9149220398003,1854.2599999999998,5196.376200000001
1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M4_post_plan_compute_matched,M4 compute-matched,gpu_utilization_peak_percent,GPU utilization peak (%),percent,resource_diagnostic,30,5,99.26,100.0,2.261003744144287,90.8,100.0
1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M4_post_plan_compute_matched,M4 compute-matched,input_tokens,Input tokens,tokens,secondary_resource_outcome,30,5,5905.6466666666665,4843.7,2657.457089248179,2750.8,11765.8
1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M4_post_plan_compute_matched,M4 compute-matched,method_case_duration_seconds,Duration (s),seconds,secondary_resource_outcome,30,5,16.270852399606472,14.131826465096673,5.17106203933653,10.406468856197899,29.531592158600688
1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M4_post_plan_compute_matched,M4 compute-matched,model_call_count,Model calls,calls,secondary_resource_outcome,30,5,2.0,2.0,0.0,2.0,2.0
1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M4_post_plan_compute_matched,M4 compute-matched,output_tokens,Output tokens,tokens,secondary_resource_outcome,30,5,486.5133333333333,447.7,157.61280959086554,252.4,768.6
1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M4_post_plan_compute_matched,M4 compute-matched,process_ram_peak_bytes,Process RAM peak (bytes),bytes,secondary_resource_outcome,30,5,1260682035.2,1258661478.4,13924189.875183584,1235487129.6,1288404992.0
1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M4_post_plan_compute_matched,M4 compute-matched,process_vram_peak_bytes,Process VRAM peak (bytes),bytes,secondary_resource_outcome,30,5,9394583852.373333,9422084505.599998,207130116.78027037,8862983782.4,9797055283.2
1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,M4_post_plan_compute_matched,M4 compute-matched,temperature_peak_celsius,Temperature peak (C),degrees_celsius,resource_diagnostic,30,5,81.68666666666667,82.0,1.0887301471592186,78.6,82.8
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M1_monolithic,M1 monolithic,board_vram_peak_bytes,Board VRAM peak (bytes),bytes,secondary_resource_outcome,30,5,19023605705.386665,19090518835.2,200586368.79450646,18541903872.0,19221381120.0
1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,M1_monolithic,M1 monolithic,gpu_board_energy_joules,GPU-board energy (J),joules,secondary_resource_outcome,30,5,4670.508413333333,4195.964899999999,1525.2354105520185,2695.1472000000003,7839.9262
