model_id,method_id,method_label,session_id,clusters,cases,nonexecution_cases,unsafe_proceed_nonexecution,unsafe_proceed_rate_nonexecution,all_nonexecution_contained,executable_cases,static_plan_fidelity_execute,static_plan_fidelity_rate_execute,false_nonexecution_execute,parse_errors,strict_success_cases,strict_success_rate
Qwen/Qwen2.5-7B-Instruct,M4_post_plan_compute_matched,M4 model-call-count-matched post-plan,83533bc1,19,95,38,5,0.13157894736842105,False,57,0,0.0,56,23,0,0.0
Qwen/Qwen2.5-7B-Instruct,M1_monolithic,M1_monolithic,9d4d90ca,19,95,38,25,0.6578947368421053,False,57,0,0.0,20,33,0,0.0
Qwen/Qwen2.5-7B-Instruct,M2_post_plan_deterministic,M2_post_plan_deterministic,9d4d90ca,19,95,38,2,0.05263157894736842,False,57,0,0.0,57,33,0,0.0
Qwen/Qwen2.5-7B-Instruct,M3_stage_wise,M3_stage_wise,9d4d90ca,19,95,38,0,0.0,True,57,0,0.0,57,16,15,0.15789473684210525
Qwen/Qwen2.5-7B-Instruct,M4_post_plan_compute_matched,M4 model-call-count-matched post-plan,9d4d90ca,19,95,38,2,0.05263157894736842,False,57,0,0.0,57,28,2,0.021052631578947368
Qwen/Qwen2.5-7B-Instruct,M1_monolithic,M1_monolithic,9ddae16c,18,90,36,23,0.6388888888888888,False,54,0,0.0,12,22,0,0.0
Qwen/Qwen2.5-7B-Instruct,M2_post_plan_deterministic,M2_post_plan_deterministic,9ddae16c,18,90,36,0,0.0,True,54,0,0.0,54,22,0,0.0
Qwen/Qwen2.5-7B-Instruct,M3_stage_wise,M3_stage_wise,9ddae16c,18,90,36,0,0.0,True,54,0,0.0,54,7,15,0.16666666666666666
Qwen/Qwen2.5-7B-Instruct,M4_post_plan_compute_matched,M4 model-call-count-matched post-plan,9ddae16c,18,90,36,0,0.0,True,54,0,0.0,54,22,0,0.0
Qwen/Qwen2.5-7B-Instruct,M1_monolithic,M1_monolithic,a2931e29,19,95,38,26,0.6842105263157895,False,57,0,0.0,13,22,0,0.0
Qwen/Qwen2.5-7B-Instruct,M2_post_plan_deterministic,M2_post_plan_deterministic,a2931e29,19,95,38,0,0.0,True,57,0,0.0,57,22,0,0.0
Qwen/Qwen2.5-7B-Instruct,M3_stage_wise,M3_stage_wise,a2931e29,19,95,38,0,0.0,True,57,0,0.0,57,15,18,0.18947368421052632
Qwen/Qwen2.5-7B-Instruct,M4_post_plan_compute_matched,M4 model-call-count-matched post-plan,a2931e29,19,95,38,0,0.0,True,57,0,0.0,57,22,1,0.010526315789473684
Qwen/Qwen2.5-7B-Instruct,M1_monolithic,M1_monolithic,be5d648b,18,90,36,24,0.6666666666666666,False,54,0,0.0,18,27,0,0.0
Qwen/Qwen2.5-7B-Instruct,M2_post_plan_deterministic,M2_post_plan_deterministic,be5d648b,18,90,36,0,0.0,True,54,0,0.0,54,27,0,0.0
